390,229
400,235
400,234
399,233
398,230
392,225
392,224
392,221
392,220
393,218
392,215
392,215
391,214
391,214
389,212
388,213
388,213
387,212
390,215
389,215
390,216
388,216
385,216
384,216
384,215
384,215
385,215
385,215
386,214
387,214
388,213
389,214
389,214
389,214
392,212
392,212
392,212
391,212
391,212
390,212
390,212
390,212
389,213
390,213
389,213
389,214
390,215
390,215
390,215
390,214
390,215
390,215
389,215
390,215
390,215
390,215
390,215
390,215
390,215
390,215
391,215
390,216
390,215
390,215
390,216
391,215
391,215
391,215
391,215
391,215
391,216
389,215
389,215
389,215
389,215
388,215
388,215
388,215
388,215
388,215
388,214
388,215
388,215
388,214
388,215
388,214
388,215
388,215
390,215
390,215
389,215
389,215
390,214
389,214
389,215
390,215
389,215
389,215
390,214
390,213
390,214
391,213
390,213
390,214
390,213
390,213
390,213
399,222
390,217
390,216
391,217
390,217
391,217
391,217
391,217
391,218
389,217
389,217
389,216
389,217
389,217
389,217
387,216
387,216
386,216
387,216
387,216
387,217
391,218
390,217
390,217
389,217
390,218
390,218
390,218
392,218
393,217
394,218
392,218
392,218
389,217
387,216
387,217
387,216
386,217
387,216
387,216
387,217
387,216
388,217
387,217
386,216
386,216
386,217
387,217
387,216
387,215
388,216
389,217
389,217
389,218
388,218
388,218
388,218
389,218
390,218
389,218
393,219
393,219
395,219
394,219
396,220
396,220
395,220
396,220
395,220
395,220
391,219
391,219
387,220
391,220
385,220
386,220
386,220
386,221
386,221
386,221
385,221
385,221
386,221
385,221
385,221
385,221
385,221
386,222
385,222
386,223
387,222
391,224
391,223
392,224
394,225
395,225
394,225
394,224
394,225
393,225
387,224
386,225
388,224
392,226
388,225
389,225
392,226
389,225
384,225
385,224
385,224
385,224
385,224
384,224
384,225
384,225
389,227
391,228
389,228
389,227
389,228
387,228
387,228
386,228
386,228
387,228
388,228
390,228
392,228
391,228
394,228
390,227
392,223
393,223
392,222
392,221
391,220
